episode,episode_length,total_reward,epsilon,avg_q_value
257,193,143.0,0.2757603055760701,6.688223
258,103,37.0,0.2743815040481898,6.4125395
259,132,114.0,0.2730095965279488,6.60843
260,13,-5.0,0.27164454854530906,6.785633
261,170,112.0,0.2702863258025825,6.8277783
262,205,139.0,0.2689348941735696,7.0184803
263,115,81.0,0.26759021970270175,6.6282215
264,104,72.0,0.2662522686041882,6.919853
265,123,97.0,0.2649210072611673,6.6646137
266,141,97.0,0.26359640222486147,6.7612667
267,242,184.0,0.26227842021373715,7.0970206
268,14,-6.0,0.2609670281126685,7.149185
269,141,119.0,0.25966219297210513,7.156598
270,122,90.0,0.2583638820072446,7.0849185
271,101,61.0,0.2570720625972084,7.234637
272,95,47.0,0.25578670228422234,6.981598
273,111,87.0,0.25450776877280124,7.2107697
274,110,88.0,0.2532352299289372,7.1949663
275,132,82.0,0.2519690537792925,7.7039533
276,191,129.0,0.2507092085103961,7.378723
277,103,31.0,0.2494556624678441,7.5164194
278,126,44.0,0.24820838415550486,7.4790497
279,186,120.0,0.24696734223472733,7.4910183
280,144,122.0,0.2457325055235537,7.517656
281,94,42.0,0.24450384299593592,7.527951
282,131,101.0,0.24328132378095624,7.967107
283,129,97.0,0.24206491716205145,7.972974
284,165,127.0,0.2408545925762412,7.9415655
285,143,97.0,0.23965031961336,7.682535
286,144,110.0,0.2384520680152932,7.966804
287,272,230.0,0.23725980767521673,7.891082
288,116,84.0,0.23607350863684065,7.7516227
289,218,180.0,0.23489314109365644,8.191951
290,124,92.0,0.23371867538818816,8.29879
291,118,70.0,0.23255008201124722,8.408909
292,142,104.0,0.231387331601191,8.4353485
293,214,160.0,0.23023039494318503,8.228441
294,120,66.0,0.2290792429684691,8.23575
295,104,30.0,0.22793384675362674,8.575587
296,153,99.0,0.22679417751985861,8.564116
297,112,86.0,0.22566020663225933,8.676761
298,109,85.0,0.22453190559909803,8.448995
299,143,109.0,0.22340924607110255,8.700709
300,155,121.0,0.22229219984074702,8.5295105
301,113,71.0,0.2211807388415433,8.610538
302,101,45.0,0.22007483514733558,8.434801
303,107,75.0,0.2189744609715989,8.921596
304,120,104.0,0.2178795886667409,8.872164
305,100,78.0,0.2167901907234072,8.844235
306,92,78.0,0.21570623976979014,8.973424
307,110,78.0,0.21462770857094118,8.944606
308,112,72.0,0.21355457002808648,9.011396
309,82,54.0,0.21248679717794605,9.039239
310,92,72.0,0.21142436319205632,8.904717
311,94,76.0,0.21036724137609603,9.011948
312,90,68.0,0.20931540516921554,8.923155
313,96,72.0,0.20826882814336947,9.903074
314,121,103.0,0.20722748400265262,9.438238
315,124,90.0,0.20619134658263935,9.392545
316,154,124.0,0.20516038984972615,9.448042
317,128,108.0,0.2041345879004775,9.640992
318,135,111.0,0.2031139149609751,9.270765
319,140,98.0,0.20209834538617025,9.439478
320,102,82.0,0.2010878536592394,9.114346
321,172,112.0,0.2000824143909432,9.839087
322,178,126.0,0.19908200231898848,10.095787
323,155,125.0,0.19808659230739353,9.8816185
324,227,177.0,0.19709615934585656,9.749292
325,222,192.0,0.19611067854912728,9.970467
326,349,175.0,0.19513012515638165,10.033769
327,267,221.0,0.19415447453059972,10.339035
328,164,106.0,0.19318370215794672,10.390878
329,242,198.0,0.192217783647157,10.316643
330,253,223.0,0.1912566947289212,10.669357
331,133,111.0,0.1903004112552766,10.671307
332,136,108.0,0.18934890919900021,10.706696
333,140,112.0,0.18840216465300522,10.742752
334,201,165.0,0.18746015382974018,10.709594
335,121,103.0,0.1865228530605915,10.712507
336,121,95.0,0.18559023879528855,10.756737
337,360,272.0,0.1846622876013121,11.320314
338,500,414.0,0.18373897616330553,11.351648
339,246,198.0,0.182820281282489,11.695217
340,256,210.0,0.18190617987607657,11.833919
341,300,240.0,0.18099664897669618,11.690683
342,229,157.0,0.1800916657318127,11.855141
343,311,217.0,0.17919120740315364,12.181269
344,121,101.0,0.17829525136613786,12.4798765
345,111,63.0,0.17740377510930716,12.542938
346,142,118.0,0.17651675623376062,12.075447
347,184,112.0,0.1756341724525918,12.320734
348,108,78.0,0.17475600159032884,12.326817
349,89,61.0,0.17388222158237718,12.233934
350,203,141.0,0.1730128104744653,12.793577
351,122,102.0,0.17214774642209296,12.959654
352,162,136.0,0.1712870076899825,12.934578
353,177,155.0,0.17043057265153258,12.935854
354,166,136.0,0.16957841978827493,12.763178
355,104,90.0,0.16873052768933355,12.679419
356,147,117.0,0.1678868750508869,13.31252
357,122,98.0,0.16704744067563246,13.390533
358,136,108.0,0.1662122034722543,13.696137
359,105,77.0,0.16538114245489302,13.560316
360,126,84.0,0.16455423674261854,13.488091
361,110,86.0,0.16373146555890544,13.267351
362,144,102.0,0.16291280823111093,13.441984
363,145,111.0,0.16209824418995536,13.574862
